Displacement,Load
0,-0.00157
0.00012,-0.00288
0.00091,0.00629
0.00203,0.04356
0.00285,0.05324
0.0037,0.09016
0.00455,0.11376
0.00536,0.13737
0.00618,0.16688
0.00702,0.19301
0.00786,0.24091
0.0087,0.27376
0.00953,0.3127
0.01036,0.36152
0.01119,0.39789
0.01202,0.46093
0.01286,0.50963
0.0137,0.57263
0.01452,0.62661
0.01536,0.68973
0.01619,0.746
0.01703,0.81396
0.01785,0.88417
0.0187,0.96239
0.01953,1.0362
0.02037,1.10933
0.0212,1.18829
0.02204,1.27311
0.02285,1.3499
0.0237,1.43954
0.02454,1.52936
0.02537,1.6126
0.0262,1.70015
0.02702,1.7955
0.02785,1.88791
0.0287,1.98931
0.02954,2.08515
0.03037,2.17508
0.03119,2.27645
0.03201,2.36842
0.03284,2.47355
0.0337,2.57925
0.03454,2.69013
0.03537,2.79059
0.03618,2.89574
0.03702,3.00249
0.03785,3.11099
0.0387,3.23411
0.03955,3.33867
0.04037,3.45925
0.04118,3.56508
0.04202,3.67849
0.04285,3.79303
0.04371,3.92056
0.04454,4.03062
0.04536,4.14759
0.04619,4.27471
0.04702,4.40034
0.04786,4.51703
0.04871,4.63779
0.04954,4.76108
0.05036,4.87583
0.05119,5.01021
0.05203,5.12702
0.05287,5.25368
0.0537,5.37599
0.05454,5.51108
0.05537,5.63276
0.05619,5.7527
0.05703,5.88433
0.05786,6.00817
0.05869,6.14955
0.05954,6.26857
0.06037,6.39315
0.0612,6.5222
0.06202,6.65095
0.06285,6.77807
0.0637,6.90469
0.06453,7.03376
0.06537,7.15408
0.0662,7.27747
0.06702,7.40382
0.06785,7.52869
0.06871,7.66073
0.06954,7.78443
0.07038,7.90326
0.07119,8.01435
0.07201,8.13868
0.07285,8.25021
0.07371,8.37382
0.07455,8.4847
0.07537,8.59092
0.07619,8.69673
0.07702,8.80791
0.07786,8.91205
0.07871,9.02998
0.07954,9.1171
0.08036,9.23039
0.08119,9.32699
0.08202,9.42409
0.08286,9.52766
0.08371,9.62544
0.08453,9.72131
0.08536,9.81089
0.08619,9.91007
0.08702,10.01366
0.08786,10.10655
0.0887,10.20778
0.08953,10.29629
0.09036,10.39036
0.09119,10.48641
0.09202,10.58375
0.09286,10.67647
0.0937,10.76868
0.09452,10.85824
0.09536,10.95721
0.0962,11.04234
0.09703,11.14239
0.09786,11.23059
0.09869,11.3221
0.09953,11.41807
0.10037,11.50852
0.10121,11.60296
0.10203,11.6894
0.10286,11.78272
0.1037,11.87777
0.10453,11.96401
0.10537,12.06013
0.1062,12.15689
0.10703,12.25034
0.10786,12.33956
0.10869,12.44481
0.10954,12.5206
0.11038,12.62499
0.1112,12.71734
0.11202,12.80327
0.11286,12.90515
0.1137,13.00538
0.11453,13.0979
0.11536,13.19324
0.1162,13.29494
0.11703,13.38681
0.11786,13.4802
0.1187,13.58006
0.11954,13.68349
0.12036,13.77805
0.12119,13.8822
0.12203,13.98277
0.12286,14.08083
0.12371,14.1846
0.12452,14.28356
0.12535,14.38089
0.12619,14.47778
0.12704,14.5854
0.12788,14.70095
0.12869,14.78545
0.12952,14.89892
0.13035,14.99319
0.1312,15.11179
0.13204,15.2138
0.13287,15.32913
0.13369,15.42147
0.13452,15.52786
0.13536,15.64274
0.13621,15.75986
0.13704,15.85978
0.13786,15.96836
0.13868,16.07105
0.13952,16.19257
0.14036,16.29941
0.14121,16.41296
0.14203,16.52313
0.14285,16.64339
0.14368,16.75164
0.14453,16.86818
0.14537,16.98369
0.1462,17.10837
0.14702,17.21408
0.14786,17.33046
0.14869,17.45098
0.14953,17.57297
0.15036,17.68777
0.15119,17.80099
0.15202,17.92143
0.15286,18.05309
0.1537,18.18003
0.15453,18.2996
0.15536,18.4207
0.1562,18.54446
0.15703,18.67162
0.15787,18.79793
0.1587,18.92092
0.15954,19.05781
0.16036,19.18196
0.1612,19.3164
0.16203,19.42933
0.16287,19.57007
0.1637,19.70221
0.16452,19.82511
0.16536,19.95716
0.1662,20.09786
0.16704,20.22859
0.16787,20.35872
0.16869,20.49156
0.16952,20.63393
0.17036,20.76084
0.17121,20.91088
0.17204,21.05391
0.17287,21.17938
0.17369,21.30546
0.17452,21.4448
0.17536,21.59734
0.17621,21.73951
0.17704,21.87131
0.17785,22.01041
0.17868,22.15397
0.17952,22.29787
0.18037,22.45486
0.18122,22.59636
0.18204,22.73472
0.18285,22.87442
0.18368,23.01351
0.18453,23.17281
0.18537,23.31584
0.18621,23.46816
0.18703,23.61051
0.18786,23.75217
0.18869,23.90986
0.18954,24.05897
0.19037,24.21558
0.1912,24.36862
0.19203,24.51157
0.19286,24.66209
0.19369,24.81682
0.19453,24.973
0.19536,25.12684
0.19619,25.27041
0.19703,25.43409
0.19786,25.59406
0.19869,25.73875
0.19952,25.89819
0.20036,26.05192
0.20119,26.20781
0.20202,26.37522
0.20286,26.52649
0.20369,26.68745
0.20452,26.84962
0.20536,27.01011
0.20621,27.16838
0.20704,27.32829
0.20787,27.48909
0.20869,27.63881
0.20952,27.80301
0.21037,27.96574
0.21122,28.13826
0.21204,28.28933
0.21286,28.44457
0.21369,28.61882
0.21452,28.77257
0.21537,28.94366
0.21622,29.11356
0.21704,29.26394
0.21785,29.42999
0.21868,29.59172
0.21953,29.76422
0.22037,29.92608
0.22121,30.09662
0.22203,30.25076
0.22285,30.41628
0.22369,30.58004
0.22453,30.75622
0.22537,30.92615
0.2262,31.08701
0.22703,31.26065
0.22785,31.42336
0.22868,31.59369
0.22954,31.76159
0.23037,31.93485
0.2312,32.0955
0.23203,32.2748
0.23286,32.43111
0.23369,32.60172
0.23454,32.78867
0.23537,32.94429
0.2362,33.11749
0.23703,33.29338
0.23787,33.46154
0.23869,33.63245
0.23953,33.79876
0.24037,33.97623
0.2412,34.14536
0.24204,34.31647
0.24287,34.48807
0.24369,34.65239
0.24452,34.82294
0.24536,34.99912
0.2462,35.17259
0.24704,35.34464
0.24786,35.51062
0.24868,35.67245
0.24952,35.85732
0.25036,36.03333
0.25121,36.21286
0.25204,36.37627
0.25286,36.54602
0.25368,36.71102
0.25452,36.88363
0.25537,37.07275
0.25621,37.23357
0.25704,37.40406
0.25786,37.5625
0.25868,37.74095
0.25953,37.91922
0.26037,38.09218
0.26121,38.27301
0.26203,38.42998
0.26286,38.59347
0.26369,38.77645
0.26453,38.9461
0.26538,39.12103
0.2662,39.28506
0.26704,39.45227
0.26786,39.61913
0.26869,39.79113
0.26954,39.96254
0.27037,40.12585
0.2712,40.30402
0.27203,40.47208
0.27286,40.62893
0.27369,40.80689
0.27452,40.97878
0.27536,41.15078
0.27619,41.31572
0.27704,41.49217
0.27787,41.656
0.27869,41.81141
0.27952,41.97348
0.28036,42.14613
0.2812,42.31516
0.28204,42.48105
0.28287,42.65123
0.28369,42.80404
0.28452,42.96124
0.28536,43.13394
0.2862,43.2914
0.28705,43.45889
0.28787,43.61593
0.28868,43.78153
0.28953,43.95749
0.29036,44.12823
0.29121,44.29017
0.29204,44.45974
0.29286,44.61214
0.29368,44.7865
0.29452,44.94756
0.29537,45.12312
0.29621,45.30093
0.29703,45.46106
0.29785,45.62038
0.29868,45.78729
0.29952,45.96634
0.30037,46.13711
0.30121,46.29979
0.30202,46.4552
0.30285,46.61775
0.30369,46.79126
0.30453,46.96456
0.30537,47.13367
0.3062,47.29959
0.30703,47.45969
0.30785,47.62335
0.30869,47.79385
0.30953,47.96001
0.31037,48.12709
0.31119,48.29525
0.31203,48.4489
0.31286,48.62679
0.3137,48.78154
0.31453,48.95128
0.31537,49.11898
0.3162,49.28236
0.31704,49.4424
0.31787,49.61606
0.3187,49.76516
0.31952,49.93287
0.32036,50.10192
0.32119,50.26955
0.32204,50.43198
0.32286,50.5902
0.32369,50.75005
0.32452,50.91624
0.32536,51.08033
0.3262,51.24442
0.32704,51.41408
0.32786,51.56341
0.32869,51.73117
0.32952,51.89442
0.33037,52.05206
0.33121,52.22306
0.33204,52.37606
0.33285,52.53189
0.33369,52.69753
0.33452,52.86055
0.33538,53.02464
0.33621,53.18697
0.33702,53.34033
0.33784,53.49845
0.33869,53.66195
0.33953,53.82213
0.34038,53.99009
0.34121,54.14568
0.34202,54.29308
0.34285,54.45374
0.34369,54.61535
0.34453,54.7815
0.34538,54.94606
0.3462,55.09814
0.34703,55.25485
0.34785,55.41689
0.34869,55.57509
0.34954,55.73843
0.35037,55.88627
0.3512,56.04471
0.35203,56.19677
0.35286,56.35457
0.35369,56.51395
0.35453,56.67103
0.35536,56.8296
0.35619,56.97892
0.35703,57.13136
